@relation bananas_train

@attribute massa_fresca numeric
@attribute text_basal numeric
@attribute comprimento numeric
@attribute diametro numeric
@attribute ph numeric
@attribute class {0,1,2,3}

@data
108.03,29.8,18.3,3.5,4.53,0
192.04,28.78,22.2,3.9,4.44,0
192.64,34.28,24.1,3.9,4.44,0
200.38,35.18,21,3.9,4.45,0
200.82,28.9,25.5,4.1,4.39,0
113.42,27.58,16.9,3.7,4.42,0
187.74,34.78,21.8,3.9,4.45,0
177.98,37.08,22.7,3.9,4.46,0
136.46,11.5,19,3.9,4.84,1
150.22,24.71,18.4,3.9,4.82,1
147.27,23.52,21,3.9,4.72,1
160.57,23.73,18.6,4,4.75,1
172.53,25.3,20.6,4.3,4.74,1
170.1,13.34,22.1,3.6,5.12,1
155.46,25.41,18.3,3.8,4.75,1
179.2,15.09,23.7,3.8,5.13,1
175.66,16.7,22.1,4.1,5.03,2
186.36,24.57,23.6,4.3,5.06,2
147.21,19.86,18.5,4,5.1,2
179.72,19.66,22.8,4.1,5.14,2
123.17,11.52,19.1,3.8,5.11,2
149.28,15.78,18.5,3.9,5.13,2
186.89,19.3,21.4,4.3,5.08,2
183.78,21.91,21.6,4,5,2
118.12,10.13,17.8,3.3,5.22,3
112.86,6.56,18.7,3.4,5.39,3
117.62,6.85,16.2,3.5,5.34,3
110.58,6.25,17.2,3.6,5.32,3
118.45,8.24,16.6,3.5,5.3,3
105.45,6.33,18.2,3.3,5.61,3
121.82,10.33,17.3,3.6,5.24,3
190.28,10.06,21.6,4.2,5.12,3
